id,notification_type,message,is_read,created_at,from_user_id,post_id,reply_id,user_id
226,like,Anika liked your reply,f,2026-04-03 12:46:49.043883+00,39,26,10,33
227,like,Anika liked your post,f,2026-04-03 12:46:54.482988+00,39,18,,33
228,like,Anika liked your post,f,2026-04-03 12:47:04.744147+00,39,33,,41
229,like,Anika liked your post,f,2026-04-03 12:47:08.95004+00,39,23,,33
230,like,Anika liked your reply,f,2026-04-03 12:47:13.320084+00,39,23,15,40
231,like,Anika liked your reply,f,2026-04-03 12:47:17.254354+00,39,23,19,48
232,like,Anika liked your post,f,2026-04-03 12:47:37.183006+00,39,42,,32
233,like,Anika liked your post,f,2026-04-03 12:47:38.8878+00,39,36,,31
234,like,Anika liked your post,f,2026-04-03 12:47:40.418707+00,39,27,,33
235,like,Anika liked your post,f,2026-04-03 12:47:43.67542+00,39,22,,33
236,like,Anika liked your post,f,2026-04-03 12:47:45.819129+00,39,19,,33
237,like,Anika liked your reply,f,2026-04-03 12:48:14.748347+00,39,22,18,32
238,like,Anika liked your reply,f,2026-04-03 12:48:23.399794+00,39,19,8,31
239,like,Anika liked your reply,f,2026-04-03 12:48:30.389582+00,39,27,27,32
240,like,Anika liked your reply,f,2026-04-03 12:48:31.982103+00,39,27,24,47
241,like,Anika liked your post,f,2026-04-03 12:48:43.973774+00,39,21,,31
242,like,Anika liked your post,f,2026-04-03 12:48:45.33945+00,39,15,,33
243,like,Anika liked your reply,f,2026-04-03 12:48:50.542816+00,39,21,22,47
244,like,Anika liked your post,f,2026-04-03 12:48:57.592907+00,39,37,,47
245,like,Anika liked your reply,f,2026-04-03 12:49:00.18026+00,39,37,25,33
246,like,Anika liked your post,f,2026-04-03 12:49:05.611608+00,39,31,,42
247,like,Anika liked your reply,f,2026-04-03 12:49:09.430545+00,39,30,17,40
248,like,Anika liked your reply,f,2026-04-03 12:49:19.251714+00,39,29,16,33
249,like,Anika liked your post,f,2026-04-03 12:49:22.957506+00,39,24,,33
250,like,Shimpy liked your post,f,2026-04-03 12:50:26.746485+00,32,13,,33
251,like,Shimpy liked your post,f,2026-04-03 12:51:56.087921+00,32,14,,33
252,like,Shimpy liked your post,f,2026-04-03 12:52:19.107585+00,32,16,,33
253,like,Shimpy liked your reply,f,2026-04-03 12:52:25.120767+00,32,16,20,48
254,like,Shimpy liked your post,f,2026-04-03 12:52:38.461189+00,32,17,,33
255,like,Shimpy liked your post,f,2026-04-03 12:53:51.524866+00,32,15,,33
256,like,admin liked your post,f,2026-04-03 12:54:57.030707+00,1,39,,32
257,like,admin liked your post,f,2026-04-03 12:54:59.281681+00,1,20,,33
258,like,admin liked your reply,f,2026-04-03 12:55:04.20675+00,1,20,9,32
259,like,admin liked your reply,f,2026-04-03 12:55:09.373128+00,1,20,12,37
260,like,admin liked your reply,f,2026-04-03 12:55:12.114151+00,1,20,13,37
261,like,admin liked your reply,f,2026-04-03 12:55:15.85108+00,1,20,14,37
262,like,admin liked your post,f,2026-04-03 12:55:28.750352+00,1,41,,32
263,like,admin liked your post,f,2026-04-03 12:55:31.990486+00,1,14,,33
264,like,admin liked your post,f,2026-04-03 12:55:33.86334+00,1,11,,32
265,like,admin liked your post,f,2026-04-03 12:55:39.272151+00,1,40,,32
266,like,admin liked your post,f,2026-04-03 12:55:42.040688+00,1,38,,33
267,like,admin liked your reply,f,2026-04-03 12:55:45.032717+00,1,38,26,40
268,like,admin liked your post,f,2026-04-03 12:55:49.585045+00,1,16,,33
269,like,admin liked your reply,f,2026-04-03 12:55:53.581248+00,1,16,20,48
270,like,admin liked your post,f,2026-04-03 12:56:02.154294+00,1,25,,32
271,like,admin liked your reply,f,2026-04-03 12:56:05.967923+00,1,25,11,33
272,like,admin liked your reply,f,2026-04-03 12:56:09.04603+00,1,25,21,47
273,like,admin liked your post,f,2026-04-03 12:56:13.996326+00,1,17,,33
274,like,admin liked your post,f,2026-04-03 12:56:42.573972+00,1,32,,45
275,like,admin liked your reply,f,2026-04-03 12:56:46.427388+00,1,32,23,31
276,like,admin liked your post,f,2026-04-03 12:56:50.362947+00,1,26,,32
277,like,admin liked your reply,f,2026-04-03 12:56:53.172994+00,1,26,10,33
278,like,admin liked your post,f,2026-04-03 12:56:58.770685+00,1,18,,33
279,like,admin liked your post,f,2026-04-03 12:57:12.268596+00,1,35,,39
280,like,admin liked your post,f,2026-04-03 12:57:15.419528+00,1,33,,41
281,like,admin liked your post,f,2026-04-03 12:58:35.481937+00,1,28,,39
282,like,admin liked your post,f,2026-04-03 12:58:36.691028+00,1,23,,33
283,like,admin liked your reply,f,2026-04-03 12:58:40.205708+00,1,23,15,40
284,like,admin liked your reply,f,2026-04-03 12:58:45.748403+00,1,23,19,48
285,like,admin liked your post,f,2026-04-03 12:59:22.515436+00,1,42,,32
286,like,admin liked your post,f,2026-04-03 12:59:25.386133+00,1,36,,31
287,like,admin liked your post,f,2026-04-03 12:59:27.05191+00,1,27,,33
288,like,admin liked your reply,f,2026-04-03 12:59:29.938311+00,1,27,27,32
289,like,admin liked your reply,f,2026-04-03 12:59:31.268202+00,1,27,24,47
290,like,admin liked your post,f,2026-04-03 12:59:35.034935+00,1,22,,33
291,like,admin liked your reply,f,2026-04-03 12:59:40.711744+00,1,22,18,32
292,like,admin liked your reply,f,2026-04-03 12:59:48.360084+00,1,19,8,31
293,like,admin liked your post,f,2026-04-03 12:59:49.962281+00,1,19,,33
294,like,admin liked your post,f,2026-04-03 13:00:05.957314+00,1,21,,31
295,like,admin liked your reply,f,2026-04-03 13:00:11.599088+00,1,21,22,47
296,like,admin liked your post,f,2026-04-03 13:01:44.797104+00,1,37,,47
297,like,admin liked your reply,f,2026-04-03 13:01:47.340155+00,1,37,25,33
298,like,admin liked your post,f,2026-04-03 13:01:51.657313+00,1,31,,42
299,like,admin liked your post,f,2026-04-03 13:01:53.172038+00,1,30,,39
300,like,admin liked your reply,f,2026-04-03 13:01:55.999056+00,1,30,17,40
301,like,admin liked your post,f,2026-04-03 13:02:00.90206+00,1,29,,39
302,like,admin liked your reply,f,2026-04-03 13:02:03.52185+00,1,29,16,33
